country,Year,numbeoQoL,usNewsQoL,ceoQoL,hdi2019
Switzerland,2022,188.36,5,94.4,0.955
Denmark,2022,186.25,2,98.13,0.94
Netherlands,2022,180.27,7,93.69,0.944
Finland,2022,178.95,8,99.06,0.938
Australia,2022,178.41,6,88.23,0.944
Iceland,2022,177.64,,84.96,0.949
Austria,2022,176.36,11,88.52,0.922
Germany,2022,175.24,9,91.26,0.947
New Zealand,2022,173.6,10,86.02,0.931
Luxembourg,2022,171.81,,85.08,0.916
Norway,2022,171.72,4,96.75,0.957
Estonia,2022,171.16,48,82.87,0.892
Sweden,2022,170.19,3,96.15,0.945
Oman,2022,168.82,70,76.32,0.813
Slovenia,2022,165.74,54,76.77,0.917
Japan,2022,164.06,13,91.23,0.919
United States,2022,163.6,20,89.11,0.926
Spain,2022,163.48,19,87.62,0.904
Lithuania,2022,160.29,56,77.55,0.882
Portugal,2022,159.83,21,86.38,0.864
Canada,2022,157.25,1,90.3,0.929
United Kingdom,2022,156.94,14,90.68,0.932
United Arab Emirates,2022,156.94,24,83.79,0.89
Croatia,2022,155.41,37,80.11,0.851
France,2022,153.6,17,92.08,0.901
Qatar,2022,151.48,34,82.24,0.848
Ireland,2022,150.54,15,87.76,0.955
Belgium,2022,148.18,12,96.53,0.931
Slovakia,2022,147.09,46,81.08,0.86
Latvia,2022,146.8,50,80.68,0.866
Singapore,2022,146.48,16,87.64,0.938
Cyprus,2022,146.08,,83.39,0.887
Saudi Arabia,2022,144.69,33,77.75,0.854
Israel,2022,143.65,36,84.43,0.919
Italy,2022,137.77,22,86.85,0.892
Hungary,2022,134.54,30,83.26,0.854
South Africa,2022,131.37,,77.94,0.709
Romania,2022,130.86,44,79.08,0.828
Greece,2022,127.96,26,83.39,0.888
Poland,2022,127.79,25,81.82,0.88
Bulgaria,2022,126.88,42,79.46,0.816
South Korea,2022,124.73,18,89.67,0.916
Turkey,2022,124.19,40,78.72,0.82
Uruguay,2022,122.42,55,76.56,0.817
Costa Rica,2022,120.42,,76.46,0.81
Mexico,2022,119.82,41,81.46,0.779
Serbia,2022,117,74,74.13,0.806
Georgia,2022,116.62,,68.73,0.812
Ecuador,2022,116.27,65,75.52,0.759
Malaysia,2022,115.02,28,82.34,0.81
Kuwait,2022,113.67,,79.39,0.806
Jordan,2022,112.28,68,71.15,0.729
Panama,2022,111.13,62,77.95,0.815
North Macedonia,2022,108.25,,72.02,0.774
Ukraine,2022,107.8,61,78.86,0.779
Belarus,2022,107.15,72,76.46,0.823
Morocco,2022,105.04,47,79.69,0.686
Brazil,2022,104.7,52,82.38,0.765
Argentina,2022,104.31,59,81.93,0.845
China,2022,103.16,23,82.8,0.761
India,2022,103,38,82.95,0.645
Pakistan,2022,102.15,,57.18,0.557
Colombia,2022,102.02,60,77.16,0.767
Azerbaijan,2022,101.41,73,71.01,0.756
Thailand,2022,100.3,29,82.69,0.777
Russia,2022,97.91,31,82.06,0.824
Chile,2022,97.27,43,77.42,0.851
Hong Kong,2022,96.1,,84.64,0.949
Kazakhstan,2022,94.25,71,75.45,0.825
Indonesia,2022,90.15,35,78.86,0.718
Vietnam,2022,88.9,32,78.49,0.704
Egypt,2022,87.21,51,77.28,0.707
Peru,2022,81.29,57,78.77,0.777
Philippines,2022,78.12,39,82.48,0.718
Kenya,2022,76.92,69,74.8,0.601
Sri Lanka,2022,75.52,58,73.16,0.782
Bangladesh,2022,64.54,,77.22,0.632
