Rank,Country,Total Value Index,Classification
1,Denmark,0.958,Working Democracy
2,Norway,0.956,Working Democracy
3,Finland,0.946,Working Democracy
4,Sweden,0.946,Working Democracy
5,Germany,0.944,Working Democracy
6,Switzerland,0.934,Working Democracy
7,Netherlands,0.93,Working Democracy
8,New Zealand,0.928,Working Democracy
9,Belgium,0.925,Working Democracy
10,Costa Rica,0.914,Working Democracy
11,Spain,0.912,Working Democracy
12,Luxembourg,0.905,Working Democracy
13,Australia,0.904,Working Democracy
14,Estonia,0.903,Working Democracy
15,Iceland,0.899,Working Democracy
16,Ireland,0.898,Working Democracy
17,United Kingdom,0.892,Working Democracy
18,Austria,0.89,Working Democracy
19,France,0.889,Working Democracy
20,South Korea,0.883,Working Democracy
21,Lithuania,0.879,Working Democracy
22,Italy,0.871,Working Democracy
23,Portugal,0.864,Working Democracy
24,Canada,0.86,Working Democracy
25,Japan,0.857,Working Democracy
26,Taiwan,0.847,Working Democracy
27,Uruguay,0.847,Deficient Democracy
28,Cyprus,0.846,Working Democracy
29,Chile,0.84,Working Democracy
30,Slovakia,0.836,Working Democracy
31,Greece,0.834,Working Democracy
32,Czech Republic,0.834,Working Democracy
33,Latvia,0.83,Working Democracy
34,Barbados,0.83,Working Democracy
35,Israel,0.821,Working Democracy
36,United States of America,0.811,Deficient Democracy
37,Cape Verde,0.792,Deficient Democracy
38,Jamaica,0.787,Deficient Democracy
39,Trinidad and Tobago,0.784,Deficient Democracy
40,Slovenia,0.782,Deficient Democracy
41,Tunisia,0.779,Deficient Democracy
42,Malta,0.774,Deficient Democracy
43,Vanuatu,0.769,Deficient Democracy
44,Argentina,0.763,Deficient Democracy
45,Croatia,0.763,Deficient Democracy
46,Romania,0.731,Deficient Democracy
47,South Africa,0.72,Deficient Democracy
48,Botswana,0.719,Deficient Democracy
49,Seychelles,0.716,Deficient Democracy
50,Peru,0.716,Deficient Democracy
51,Georgia,0.716,Deficient Democracy
52,Mauritius,0.715,Deficient Democracy
53,Suriname,0.714,Deficient Democracy
54,Poland,0.71,Deficient Democracy
55,São Tomé and Príncipe,0.707,Deficient Democracy
56,Bhutan,0.701,Deficient Democracy
57,Panama,0.691,Deficient Democracy
58,Namibia,0.685,Deficient Democracy
59,Ghana,0.682,Deficient Democracy
60,Bulgaria,0.672,Deficient Democracy
61,Moldova,0.665,Deficient Democracy
62,Mongolia,0.656,Deficient Democracy
63,Lesotho,0.644,Deficient Democracy
64,Burkina Faso,0.643,Deficient Democracy
65,Solomon Islands,0.641,Deficient Democracy
66,Armenia,0.639,Deficient Democracy
67,Maldives,0.636,Deficient Democracy
68,Kosovo,0.624,Deficient Democracy
69,The Gambia,0.622,Deficient Democracy
70,Sierra Leone,0.615,Deficient Democracy
71,Timor-Leste,0.612,Deficient Democracy
72,Guyana,0.605,Deficient Democracy
73,Nepal,0.603,Deficient Democracy
74,Ecuador,0.601,Deficient Democracy
75,Brazil,0.599,Deficient Democracy
76,Malawi,0.599,Deficient Democracy
77,Indonesia,0.587,Deficient Democracy
78,Hungary,0.585,Deficient Democracy
79,Albania,0.583,Deficient Democracy
80,North Macedonia,0.582,Deficient Democracy
81,Liberia,0.582,Deficient Democracy
82,Kenya,0.576,Hybrid Regime
83,Tanzania,0.567,Hybrid Regime
84,Colombia,0.566,Hybrid Regime
85,India,0.564,Hybrid Regime
86,Singapore,0.562,Hybrid Regime
