"country","moveHub2022","moveHub2017","politic2020"
"Australia","10","15","5"
"Germany","9","13","10"
"Canada","8","11","15"
"Switzerland","7","7","6"
"New Zealand","6","5","1"
"Iceland","5","1",""
"Finland","4","2","3"
"Denmark","3","8","13"
"Sweden","2","3","8"
"Norway","1","4","12"
"India","","","2"
"United States","","21","11"
"Philippines","","23",""
"United Kingdom","","10","4"
"France","","16",""
"Spain","","20",""
"Netherlands","","22","14"
"Belgium","","18",""
"Portugal","","12",""
"Austria","","24",""
"Ireland","","9",""
"Uruguay","","","7"
"Lithuania","","19",""
"Namibia","","25",""
"Slovenia","","6",""
"Latvia","","14",""
"Estonia","","17",""
